Timestamp,Username,What is the most important factor for you when choosing a flatmate? ,How do you prefer your flatmate’s daily routine to be? ,What level of social activity do you expect from your flatmate?  ,"How do you feel about sharing expenses with a flatmate?
",Which quality do you think is a deal-breaker in a flatmate?  ,How important is having similar hobbies or interests with your flatmate?  
2025-08-31 00:42:30,lopezlinda@lowe-hudson.info,Similar lifestyle & interests,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
2025-08-31 10:52:15,elizabeth30@hotmail.com,Friendly & cooperative nature,Flexible (adjusts as needed),Very social (likes to hang out often),"Flexible, based on usage",Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 12:29:51,jonathanwaters@gmail.com,Cleanliness & hygiene,"Night owl (stays up late, wakes up late)",Mostly private (values personal space more),Strictly 50-50 split,Unfriendly or uncooperative attitude,Very important (I want to share activities)
2025-08-31 19:59:01,loriedwards@gmail.com,Cleanliness & hygiene,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-31 13:11:20,nathantaylor@yahoo.com,Study/Work habits,Flexible (adjusts as needed),Very social (likes to hang out often),"Flexible, based on usage",Unfriendly or uncooperative attitude,I prefer completely different hobbies
2025-08-31 11:33:22,kfischer@gmail.com,Friendly & cooperative nature,Early bird,"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 22:35:08,weberann@cole.biz,Similar lifestyle & interests,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Lack of cleanliness,Somewhat important (good if we have a few things in common)
2025-08-31 22:38:20,rebecca83@gmail.com,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)",Strictly 50-50 split,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 12:46:38,taylorcampbell@ward-miller.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)","Flexible, based on usage",Unfriendly or uncooperative attitude,Not important (as long as we respect each other)
2025-08-30 08:23:25,david99@woodward.com,Friendly & cooperative nature,Flexible (adjusts as needed),"Balanced (sometimes social, sometimes private)",Doesn’t matter as long as it’s fair,Loud or disturbing behavior,Very important (I want to share activities)
2025-08-30 02:21:20,jesse72@hotmail.com,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)",Doesn’t matter to me,I prefer to keep finances separate,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
2025-08-30 05:44:49,barbara58@yahoo.com,Friendly & cooperative nature,"Night owl (stays up late, wakes up late)","Balanced (sometimes social, sometimes private)","Flexible, based on usage",Loud or disturbing behavior,Somewhat important (good if we have a few things in common)
2025-08-31 17:13:31,eeaton@brewer.net,Study/Work habits,Friendly & cooperative nature,"Balanced (sometimes social, sometimes private)",I prefer to keep finances separate,Unfriendly or uncooperative attitude,Somewhat important (good if we have a few things in common)
